BOOKINGSORDERDATE,BOOKINGSSTATUS,PRODUCTCODE,CUSTOMERNAME,BOOKINGSCOUNTRY,BOOKINGSTERRITORY,BOOKINGSQUANTITYORDERED
2/20/2004 0:00,Shipped,S10_2016,"Australian Collectors, Co.",Australia,APAC,10844
4/3/2004 0:00,Shipped,S10_2016,Motor Mint Distributors Inc.,USA,NA,5704
5/18/2004 0:00,Shipped,S10_2016,Tekni Collectables Inc.,USA,NA,11512
6/28/2004 0:00,Shipped,S10_2016,Gift Depot Inc.,USA,NA,8944
7/23/2004 0:00,Shipped,S10_2016,La Rochelle Gifts,France,EMEA,5808
8/27/2004 0:00,Shipped,S10_2016,Marta's Replicas Co.,USA,NA,12968
9/27/2004 0:00,Shipped,S10_2016,Atelier graphique,France,EMEA,7514
10/15/2004 0:00,Shipped,S10_2016,Mini Classics,USA,NA,8086
11/2/2004 0:00,Shipped,S10_2016,Diecast Classics Inc.,USA,NA,11132
11/15/2004 0:00,Shipped,S10_2016,Land of Toys Inc.,USA,NA,6352
11/23/2004 0:00,Shipped,S10_2016,"Tokyo Collectables, Ltd",Japan,Japan,5512
12/17/2004 0:00,Shipped,S10_2016,Souveniers And Things Co.,Australia,APAC,2658
2/2/2005 0:00,Shipped,S10_2016,"Australian Gift Network, Co",Australia,APAC,10576
3/3/2005 0:00,Shipped,S10_2016,FunGiftIdeas.com,USA,NA,4450
4/7/2005 0:00,Shipped,S10_2016,Auto Canal Petit,France,EMEA,11666
5/13/2005 0:00,Disputed,S10_2016,Euro Shopping Channel,Spain,EMEA,11774
4/29/2003 0:00,Shipped,S10_4698,"Australian Collectors, Co.",Australia,APAC,18528
7/1/2003 0:00,Shipped,S10_4698,Lyon Souveniers,France,EMEA,14046
8/25/2003 0:00,Shipped,S10_4698,Toys4GrownUps.com,USA,NA,10352
10/10/2003 0:00,Shipped,S10_4698,Corporate Gift Ideas Co.,USA,NA,8264
10/28/2003 0:00,Shipped,S10_4698,Technics Stores Inc.,USA,NA,8366
11/11/2003 0:00,Shipped,S10_4698,Daedalus Designs Imports,France,EMEA,17784
11/18/2003 0:00,Shipped,S10_4698,Herkku Gifts,Norway,EMEA,17428
12/1/2003 0:00,Shipped,S10_4698,Mini Wheels Co.,USA,NA,16130
1/12/2004 0:00,Shipped,S10_4698,Osaka Souveniers Co.,Japan,Japan,12246
2/20/2004 0:00,Shipped,S10_4698,"Australian Collectors, Co.",Australia,APAC,19548
4/5/2004 0:00,Shipped,S10_4698,Vitachrome Inc.,USA,NA,14046
5/18/2004 0:00,Shipped,S10_4698,Tekni Collectables Inc.,USA,NA,14156
6/28/2004 0:00,Shipped,S10_4698,Gift Depot Inc.,USA,NA,16672
7/23/2004 0:00,Shipped,S10_4698,La Rochelle Gifts,France,EMEA,13802
8/27/2004 0:00,Shipped,S10_4698,Marta's Replicas Co.,USA,NA,10876
9/30/2004 0:00,Shipped,S10_4698,"Toys of Finland, Co.",Finland,EMEA,13366
10/15/2004 0:00,Shipped,S10_4698,Mini Classics,USA,NA,9140
11/2/2004 0:00,Shipped,S10_4698,Diecast Classics Inc.,USA,NA,15334
11/23/2004 0:00,Shipped,S10_4698,"Tokyo Collectables, Ltd",Japan,Japan,5980
1/5/2005 0:00,Shipped,S10_4698,Technics Stores Inc.,USA,NA,7328
2/2/2005 0:00,Shipped,S10_4698,"Australian Gift Network, Co",Australia,APAC,7668
3/3/2005 0:00,Shipped,S10_4698,FunGiftIdeas.com,USA,NA,3644
4/8/2005 0:00,Shipped,S10_4698,"UK Collectables, Ltd.",UK,EMEA,23772
5/13/2005 0:00,Disputed,S10_4698,Euro Shopping Channel,Spain,EMEA,18436
2/11/2003 0:00,Shipped,S10_4757,Danish Wholesale Imports,Denmark,EMEA,14416
4/28/2003 0:00,Shipped,S10_4757,Salzburg Collectables,Austria,EMEA,10008
6/12/2003 0:00,Shipped,S10_4757,"Stylish Desk Decors, Co.",UK,EMEA,8796
8/10/2003 0:00,Shipped,S10_4757,Mini Creations Ltd.,USA,NA,11194
10/6/2003 0:00,Shipped,S10_4757,"Toys of Finland, Co.",Finland,EMEA,9052
10/23/2003 0:00,Cancelled,S10_4757,Scandinavian Gift Ideas,Sweden,EMEA,11848
11/8/2003 0:00,Shipped,S10_4757,Alpha Cognac,France,EMEA,6984
11/14/2003 0:00,Shipped,S10_4757,"Double Decker Gift Stores, Ltd",UK,EMEA,7708
11/26/2003 0:00,Shipped,S10_4757,Enaco Distributors,Spain,EMEA,10648
1/9/2004 0:00,Shipped,S10_4757,"Men 'R' US Retailers, Ltd.",USA,NA,10394
2/19/2004 0:00,Shipped,S10_4757,Collectable Mini Designs Co.,USA,NA,11994
6/17/2004 0:00,Shipped,S10_4757,Quebec Home Shopping Network,Canada,NA,6756
7/21/2004 0:00,Shipped,S10_4757,Petit Auto,Belgium,EMEA,7016
8/20/2004 0:00,Shipped,S10_4757,"Royal Canadian Collectables, Ltd.",Canada,NA,5984
9/10/2004 0:00,Shipped,S10_4757,Gifts4AllAges.com,USA,NA,6854
10/14/2004 0:00,Shipped,S10_4757,"Classic Gift Ideas, Inc",USA,NA,5384
11/1/2004 0:00,Shipped,S10_4757,giftsbymail.co.uk,UK,EMEA,8256
11/5/2004 0:00,Shipped,S10_4757,Baane Mini Imports,Norway,EMEA,6102
11/21/2004 0:00,Shipped,S10_4757,Classic Legends Inc.,USA,NA,2402
12/2/2004 0:00,Shipped,S10_4757,Euro Shopping Channel,Spain,EMEA,3924
12/15/2004 0:00,Shipped,S10_4757,Reims Collectables,France,EMEA,5248
1/31/2005 0:00,Shipped,S10_4757,"Oulu Toy Supplies, Inc.",Finland,EMEA,8092
2/23/2005 0:00,Shipped,S10_4757,Corporate Gift Ideas Co.,USA,NA,9692
3/17/2005 0:00,Shipped,S10_4757,Lyon Souveniers,France,EMEA,6740
4/1/2005 0:00,Shipped,S10_4757,The Sharp Gifts Warehouse,USA,NA,19322
5/6/2005 0:00,On Hold,S10_4757,Gifts4AllAges.com,USA,NA,5528
1/29/2003 0:00,Shipped,S10_4962,Baane Mini Imports,Norway,EMEA,10796
4/1/2003 0:00,Shipped,S10_4962,"La Corne D'abondance, Co.",France,EMEA,8610
5/28/2003 0:00,Shipped,S10_4962,"Corrida Auto Replicas, Ltd",Spain,EMEA,6694
7/24/2003 0:00,Shipped,S10_4962,Technics Stores Inc.,USA,NA,6376
9/19/2003 0:00,Shipped,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Japan,6382
10/21/2003 0:00,Resolved,S10_4962,Mini Auto Werke,Austria,EMEA,7072
11/6/2003 0:00,Shipped,S10_4962,"Stylish Desk Decors, Co.",UK,EMEA,10724
11/13/2003 0:00,Shipped,S10_4962,"Classic Gift Ideas, Inc",USA,NA,6866
11/25/2003 0:00,Shipped,S10_4962,"Saveley & Henriot, Co.",France,EMEA,8526
12/9/2003 0:00,Shipped,S10_4962,Diecast Collectables,USA,NA,8152
2/4/2004 0:00,Shipped,S10_4962,Handji Gifts& Co,Singapore,APAC,14040
3/11/2004 0:00,Shipped,S10_4962,Mini Gifts Distributors Ltd.,USA,NA,12852
5/4/2004 0:00,Shipped,S10_4962,Super Scale Inc.,USA,NA,9182
6/15/2004 0:00,Shipped,S10_4962,Handji Gifts& Co,Singapore,APAC,8066
7/19/2004 0:00,Shipped,S10_4962,Souveniers And Things Co.,Australia,APAC,8604
8/19/2004 0:00,Shipped,S10_4962,Diecast Classics Inc.,USA,NA,14040
9/8/2004 0:00,Shipped,S10_4962,Scandinavian Gift Ideas,Sweden,EMEA,7710
10/13/2004 0:00,Shipped,S10_4962,Marta's Replicas Co.,USA,NA,13360
10/22/2004 0:00,Shipped,S10_4962,Canadian Gift Exchange Network,Canada,NA,13356
11/4/2004 0:00,Shipped,S10_4962,Online Diecast Creations Co.,USA,NA,5702
11/19/2004 0:00,On Hold,S10_4962,"Volvo Model Replicas, Co",Sweden,EMEA,6376
11/29/2004 0:00,Shipped,S10_4962,"Australian Collectors, Co.",Australia,APAC,8856
12/10/2004 0:00,Shipped,S10_4962,Mini Gifts Distributors Ltd.,USA,NA,11560
1/20/2005 0:00,Shipped,S10_4962,"Anna's Decorations, Ltd",Australia,APAC,4594
2/17/2005 0:00,Shipped,S10_4962,Corporate Gift Ideas Co.,USA,NA,12462
3/9/2005 0:00,Shipped,S10_4962,"Anna's Decorations, Ltd",Australia,APAC,3470
5/1/2005 0:00,Shipped,S10_4962,Quebec Home Shopping Network,Canada,NA,8854
5/31/2005 0:00,In Process,S10_4962,La Rochelle Gifts,France,EMEA,11788
3/3/2003 0:00,Shipped,S12_1099,Cruz & Sons Co.,Philippines,Japan,10530
5/8/2003 0:00,Shipped,S12_1099,Marseille Mini Autos,France,EMEA,15198
7/2/2003 0:00,Shipped,S12_1099,Mini Gifts Distributors Ltd.,USA,NA,16016
9/5/2003 0:00,Shipped,S12_1099,Collectables For Less Inc.,USA,NA,18490
10/10/2003 0:00,Shipped,S12_1099,Corporate Gift Ideas Co.,USA,NA,16592
11/4/2003 0:00,Shipped,S12_1099,"Anna's Decorations, Ltd",Australia,APAC,10038
11/12/2003 0:00,Shipped,S12_1099,Herkku Gifts,Norway,EMEA,10822
11/20/2003 0:00,Shipped,S12_1099,"Toms Spezialitten, Ltd",Germany,EMEA,7680
12/2/2003 0:00,Shipped,S12_1099,Euro Shopping Channel,Spain,EMEA,7860
1/15/2004 0:00,Shipped,S12_1099,Auto Canal Petit,France,EMEA,14996
2/22/2004 0:00,Shipped,S12_1099,"Vida Sport, Ltd",Switzerland,EMEA,9034
4/9/2004 0:00,Shipped,S12_1099,Danish Wholesale Imports,Denmark,EMEA,11548
6/1/2004 0:00,Cancelled,S12_1099,"UK Collectables, Ltd.",UK,EMEA,7844
7/6/2004 0:00,Shipped,S12_1099,L'ordine Souveniers,Italy,EMEA,18320
8/2/2004 0:00,Shipped,S12_1099,Online Mini Collectables,USA,NA,19262
8/30/2004 0:00,Shipped,S12_1099,"Vida Sport, Ltd",Switzerland,EMEA,6864
10/4/2003 0:00,Shipped,S12_1099,"Blauer See Auto, Co.",Germany,EMEA,11042
10/16/2004 0:00,Shipped,S12_1099,"Toms Spezialitten, Ltd",Germany,EMEA,13868
11/3/2004 0:00,Shipped,S12_1099,"Volvo Model Replicas, Co",Sweden,EMEA,13752
11/15/2004 0:00,Shipped,S12_1099,Land of Toys Inc.,USA,NA,5860
11/24/2004 0:00,Shipped,S12_1099,Salzburg Collectables,Austria,EMEA,7168
1/6/2005 0:00,Shipped,S12_1099,Suominen Souveniers,Finland,EMEA,5634
2/3/2005 0:00,Shipped,S12_1099,La Rochelle Gifts,France,EMEA,6840
3/3/2005 0:00,Shipped,S12_1099,Scandinavian Gift Ideas,Sweden,EMEA,5150
5/17/2005 0:00,Shipped,S12_1099,Salzburg Collectables,Austria,EMEA,3922
2/11/2003 0:00,Shipped,S12_1108,Danish Wholesale Imports,Denmark,EMEA,17380
4/16/2003 0:00,Shipped,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Japan,12068
6/3/2003 0:00,Shipped,S12_1108,Muscle Machine Inc,USA,NA,22558
8/8/2003 0:00,Shipped,S12_1108,Mini Gifts Distributors Ltd.,USA,NA,16046
9/28/2003 0:00,Shipped,S12_1108,Euro Shopping Channel,Spain,EMEA,9808
10/22/2003 0:00,Shipped,S12_1108,"Dragon Souveniers, Ltd.",Singapore,Japan,17188
11/6/2003 0:00,Shipped,S12_1108,L'ordine Souveniers,Italy,EMEA,14948
11/14/2003 0:00,Shipped,S12_1108,Mini Creations Ltd.,USA,NA,7766
11/26/2003 0:00,Shipped,S12_1108,Super Scale Inc.,USA,NA,17774
1/2/2004 0:00,Shipped,S12_1108,"Saveley & Henriot, Co.",France,EMEA,17204
2/12/2004 0:00,Shipped,S12_1108,"Clover Collections, Co.",Ireland,EMEA,14362
3/19/2004 0:00,Shipped,S12_1108,CAF Imports,Spain,EMEA,16756
5/5/2004 0:00,Shipped,S12_1108,Suominen Souveniers,Finland,EMEA,21212
7/20/2004 0:00,Shipped,S12_1108,Diecast Classics Inc.,USA,NA,11636
8/20/2004 0:00,Shipped,S12_1108,Mini Gifts Distributors Ltd.,USA,NA,14142
9/9/2004 0:00,Shipped,S12_1108,Amica Models & Co.,Italy,EMEA,16822
10/14/2004 0:00,Shipped,S12_1108,"AV Stores, Co.",UK,EMEA,13140
10/22/2004 0:00,Shipped,S12_1108,Heintze Collectables,Denmark,EMEA,15950
11/5/2004 0:00,Shipped,S12_1108,Baane Mini Imports,Norway,EMEA,5376
11/20/2004 0:00,Shipped,S12_1108,"La Corne D'abondance, Co.",France,EMEA,3776
11/1/2004 0:00,Shipped,S12_1108,"Corrida Auto Replicas, Ltd",Spain,EMEA,5026
12/15/2004 0:00,Shipped,S12_1108,Reims Collectables,France,EMEA,9528
1/23/2005 0:00,Shipped,S12_1108,Mini Gifts Distributors Ltd.,USA,NA,7120
2/17/2005 0:00,Shipped,S12_1108,Mini Gifts Distributors Ltd.,USA,NA,7646
3/17/2005 0:00,Shipped,S12_1108,Lyon Souveniers,France,EMEA,4560
5/5/2005 0:00,Shipped,S12_1108,Gift Depot Inc.,USA,NA,17354
1/29/2003 0:00,Shipped,S12_1666,Baane Mini Imports,Norway,EMEA,6788
3/26/2003 0:00,Shipped,S12_1666,Mini Gifts Distributors Ltd.,USA,NA,6830
5/28/2003 0:00,Shipped,S12_1666,"Corrida Auto Replicas, Ltd",Spain,EMEA,4878
7/24/2003 0:00,Shipped,S12_1666,Technics Stores Inc.,USA,NA,9658
9/19/2003 0:00,Shipped,S12_1666,"Dragon Souveniers, Ltd.",Singapore,Japan,8200
10/21/2003 0:00,Resolved,S12_1666,Mini Auto Werke,Austria,EMEA,13126
11/6/2003 0:00,Shipped,S12_1666,"Australian Gift Network, Co",Australia,APAC,13634
11/13/2003 0:00,Shipped,S12_1666,"Classic Gift Ideas, Inc",USA,NA,12326
11/25/2003 0:00,Shipped,S12_1666,"Saveley & Henriot, Co.",France,EMEA,9866
12/5/2003 0:00,Shipped,S12_1666,Canadian Gift Exchange Network,Canada,NA,8112
2/2/2004 0:00,Shipped,S12_1666,Auto Assoc. & Cie.,France,EMEA,11518
3/11/2004 0:00,Shipped,S12_1666,Mini Gifts Distributors Ltd.,USA,NA,6902
5/4/2004 0:00,Shipped,S12_1666,Super Scale Inc.,USA,NA,11840
6/15/2004 0:00,Shipped,S12_1666,"Tokyo Collectables, Ltd",Japan,Japan,13336
7/19/2004 0:00,Shipped,S12_1666,Souveniers And Things Co.,Australia,APAC,8188
8/19/2004 0:00,Shipped,S12_1666,Diecast Classics Inc.,USA,NA,5876
9/8/2004 0:00,Shipped,S12_1666,Scandinavian Gift Ideas,Sweden,EMEA,12774
10/11/2004 0:00,Shipped,S12_1666,Auto Assoc. & Cie.,France,EMEA,12792
10/22/2004 0:00,Shipped,S12_1666,Canadian Gift Exchange Network,Canada,NA,5338
11/4/2004 0:00,Shipped,S12_1666,Online Diecast Creations Co.,USA,NA,9568
11/18/2004 0:00,Shipped,S12_1666,Mini Wheels Co.,USA,NA,6546
11/29/2004 0:00,Shipped,S12_1666,"Australian Collectors, Co.",Australia,APAC,7172
12/10/2004 0:00,Shipped,S12_1666,Mini Gifts Distributors Ltd.,USA,NA,11920
1/20/2005 0:00,Shipped,S12_1666,"Anna's Decorations, Ltd",Australia,APAC,16940
2/17/2005 0:00,Shipped,S12_1666,Corporate Gift Ideas Co.,USA,NA,5904
3/9/2005 0:00,Shipped,S12_1666,"Anna's Decorations, Ltd",Australia,APAC,4928
5/1/2005 0:00,Shipped,S12_1666,Quebec Home Shopping Network,Canada,NA,12464
5/31/2005 0:00,In Process,S12_1666,Euro Shopping Channel,Spain,EMEA,15938
2/24/2003 0:00,Shipped,S12_2823,Land of Toys Inc.,USA,NA,6072
5/7/2003 0:00,Shipped,S12_2823,Reims Collectables,France,EMEA,16568
7/1/2003 0:00,Shipped,S12_2823,Lyon Souveniers,France,EMEA,5422
8/25/2003 0:00,Shipped,S12_2823,Toys4GrownUps.com,USA,NA,16678
10/10/2003 0:00,Shipped,S12_2823,Corporate Gift Ideas Co.,USA,NA,12476
11/4/2003 0:00,Shipped,S12_2823,"Anna's Decorations, Ltd",Australia,APAC,9278
11/11/2003 0:00,Shipped,S12_2823,Daedalus Designs Imports,France,EMEA,13494
11/18/2003 0:00,Shipped,S12_2823,Toys4GrownUps.com,USA,NA,9024
12/1/2003 0:00,Shipped,S12_2823,Mini Wheels Co.,USA,NA,8058
1/15/2004 0:00,Shipped,S12_2823,Auto Canal Petit,France,EMEA,9542
2/21/2004 0:00,Shipped,S12_2823,Daedalus Designs Imports,France,EMEA,12174
4/5/2004 0:00,Shipped,S12_2823,Vitachrome Inc.,USA,NA,8386
5/18/2004 0:00,Shipped,S12_2823,Tekni Collectables Inc.,USA,NA,15104
6/28/2004 0:00,Shipped,S12_2823,Gift Depot Inc.,USA,NA,12868
8/2/2004 0:00,Shipped,S12_2823,Online Mini Collectables,USA,NA,10362
8/27/2004 0:00,Shipped,S12_2823,Marta's Replicas Co.,USA,NA,13726
9/30/2004 0:00,Shipped,S12_2823,"Toys of Finland, Co.",Finland,EMEA,8314
10/15/2004 0:00,Shipped,S12_2823,Baane Mini Imports,Norway,EMEA,9320
11/3/2004 0:00,Shipped,S12_2823,Microscale Inc.,USA,NA,8222
11/15/2004 0:00,Shipped,S12_2823,Land of Toys Inc.,USA,NA,7084
11/24/2004 0:00,Shipped,S12_2823,Salzburg Collectables,Austria,EMEA,16236
1/5/2005 0:00,Shipped,S12_2823,Technics Stores Inc.,USA,NA,7754
2/3/2005 0:00,Shipped,S12_2823,La Rochelle Gifts,France,EMEA,7734
3/3/2005 0:00,Shipped,S12_2823,FunGiftIdeas.com,USA,NA,11902
4/8/2005 0:00,Shipped,S12_2823,"UK Collectables, Ltd.",UK,EMEA,17296
5/13/2005 0:00,Disputed,S12_2823,Euro Shopping Channel,Spain,EMEA,6894
1/31/2003 0:00,Shipped,S12_3148,Euro Shopping Channel,Spain,EMEA,11916
4/16/2003 0:00,Shipped,S12_3148,"Dragon Souveniers, Ltd.",Singapore,Japan,11822
6/3/2003 0:00,Shipped,S12_3148,Muscle Machine Inc,USA,NA,14732
8/8/2003 0:00,Shipped,S12_3148,Mini Gifts Distributors Ltd.,USA,NA,9970
9/28/2003 0:00,Shipped,S12_3148,Euro Shopping Channel,Spain,EMEA,10786
10/22/2003 0:00,Shipped,S12_3148,"Dragon Souveniers, Ltd.",Singapore,Japan,9760
11/6/2003 0:00,Shipped,S12_3148,L'ordine Souveniers,Italy,EMEA,16756
11/14/2003 0:00,Shipped,S12_3148,Mini Creations Ltd.,USA,NA,8076
11/26/2003 0:00,Shipped,S12_3148,Super Scale Inc.,USA,NA,7614
1/2/2004 0:00,Shipped,S12_3148,"Saveley & Henriot, Co.",France,EMEA,6284
2/12/2004 0:00,Shipped,S12_3148,"Clover Collections, Co.",Ireland,EMEA,9426
3/15/2004 0:00,Shipped,S12_3148,"Blauer See Auto, Co.",Germany,EMEA,14032
5/5/2004 0:00,Shipped,S12_3148,Suominen Souveniers,Finland,EMEA,8762
7/20/2004 0:00,Shipped,S12_3148,Diecast Classics Inc.,USA,NA,8566
8/20/2004 0:00,Shipped,S12_3148,Mini Gifts Distributors Ltd.,USA,NA,8728
9/9/2004 0:00,Shipped,S12_3148,Amica Models & Co.,Italy,EMEA,8484
10/14/2004 0:00,Shipped,S12_3148,"AV Stores, Co.",UK,EMEA,9964
10/22/2004 0:00,Shipped,S12_3148,Heintze Collectables,Denmark,EMEA,12786
11/5/2004 0:00,Shipped,S12_3148,Vitachrome Inc.,USA,NA,2932
11/20/2004 0:00,Shipped,S12_3148,"La Corne D'abondance, Co.",France,EMEA,8118
11/1/2004 0:00,Shipped,S12_3148,"Corrida Auto Replicas, Ltd",Spain,EMEA,9602
12/10/2004 0:00,Shipped,S12_3148,Euro Shopping Channel,Spain,EMEA,5422
1/26/2005 0:00,Shipped,S12_3148,"Tokyo Collectables, Ltd",Japan,Japan,11724
2/17/2005 0:00,Shipped,S12_3148,Mini Gifts Distributors Ltd.,USA,NA,8142
5/5/2005 0:00,Shipped,S12_3148,Gift Depot Inc.,USA,NA,16472
3/3/2003 0:00,Shipped,S12_3380,Cruz & Sons Co.,Philippines,Japan,12260
5/8/2003 0:00,Shipped,S12_3380,Marseille Mini Autos,France,EMEA,7386
7/2/2003 0:00,Shipped,S12_3380,Mini Gifts Distributors Ltd.,USA,NA,12062
9/5/2003 0:00,Shipped,S12_3380,Collectables For Less Inc.,USA,NA,6988
10/11/2003 0:00,Shipped,S12_3380,"Men 'R' US Retailers, Ltd.",USA,NA,10588
11/4/2003 0:00,Shipped,S12_3380,Mini Auto Werke,Austria,EMEA,10928
11/12/2003 0:00,Shipped,S12_3380,Herkku Gifts,Norway,EMEA,5720
11/20/2003 0:00,Shipped,S12_3380,"Toms Spezialitten, Ltd",Germany,EMEA,11180
12/2/2003 0:00,Shipped,S12_3380,Euro Shopping Channel,Spain,EMEA,4508
1/16/2004 0:00,Shipped,S12_3380,Euro Shopping Channel,Spain,EMEA,9892
2/22/2004 0:00,Shipped,S12_3380,"Vida Sport, Ltd",Switzerland,EMEA,4990
4/9/2004 0:00,Shipped,S12_3380,Danish Wholesale Imports,Denmark,EMEA,6334
6/1/2004 0:00,Cancelled,S12_3380,"UK Collectables, Ltd.",UK,EMEA,4804
7/6/2004 0:00,Shipped,S12_3380,L'ordine Souveniers,Italy,EMEA,4908
8/2/2004 0:00,Shipped,S12_3380,Online Mini Collectables,USA,NA,10928
8/30/2004 0:00,Shipped,S12_3380,"Vida Sport, Ltd",Switzerland,EMEA,9512
10/4/2003 0:00,Shipped,S12_3380,"Blauer See Auto, Co.",Germany,EMEA,7968
10/16/2004 0:00,Shipped,S12_3380,"Toms Spezialitten, Ltd",Germany,EMEA,6200
11/3/2004 0:00,Shipped,S12_3380,"Volvo Model Replicas, Co",Sweden,EMEA,9700
11/15/2004 0:00,Shipped,S12_3380,Land of Toys Inc.,USA,NA,7692
11/24/2004 0:00,Shipped,S12_3380,Salzburg Collectables,Austria,EMEA,8440
